CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13121011422,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011424,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121012300,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011439,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011429,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011441,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011444,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011644,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011652,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011656,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011509,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011634,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011651,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001001,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008903,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121004300,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121980000,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007603,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007604,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007703,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011306,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009501,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121000502,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008905,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121000601,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011802,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009405,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009203,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121000202,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010522,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008909,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008701,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009411,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009409,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010003,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010222,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010533,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010006,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009406,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011512,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010215,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011657,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011653,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011629,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010132,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010216,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010217,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011649,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010220,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009301,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009105,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010315,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009408,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010539,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121000602,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010525,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010528,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008203,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010527,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010540,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010537,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007710,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011309,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010521,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010532,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009604,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121005504,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011310,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010307,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010517,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010520,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010306,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010124,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010134,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001101,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011659,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007709,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009410,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010131,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001102,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001204,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001205,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001203,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010526,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001902,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121001301,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121010529,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121011901,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008906,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121008907,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009504,GA,Brownfields Projects,Low or No Emission (Bus) Grants,Clean School Bus Program,,61801.88584,"RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
