CensusTract,State,Prog1,Prog2,Prog3,Prog4+more,FundingTotal,Projects,CEJST_Indicators,CoveredPrograms,Monitor
13089021602,GA,Carbon Reduction Program,Brownfields Projects,Low or No Emission (Bus) Grants,,1053366,"SR 236 from Leafmore Place to Pangborn Road, Cst, RLF Supplemental Funding; Low or No Emission - MARTA","N_TRN, NPL_ET, TP_ET, TSDF_ET, N_WKFC","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13089021707,GA,Carbon Reduction Program,Brownfields Projects,Low or No Emission (Bus) Grants,,1053366,"SR 236 from Leafmore Place to Pangborn Road, Cst, RLF Supplemental Funding; Low or No Emission - MARTA","N_TRN, NPL_ET, TP_ET, TSDF_ET, N_WKFC","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13089021708,GA,Carbon Reduction Program,Brownfields Projects,Low or No Emission (Bus) Grants,,1053366,"SR 236 from Leafmore Place to Pangborn Road, Cst, RLF Supplemental Funding; Low or No Emission - MARTA","N_TRN, NPL_ET, TP_ET, TSDF_ET, N_WKFC","Remediation & Reduction of Legacy Pollution, Clean Transportation",
13095000200,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",Watershed and Flood Prevention Operations,,,466921,"SR 520Bu @ Flint River In Albany, Row, Radium Springs Watershed","N_CLT, TD_ET, FLD_ET, EAL_ET","Climate Change, Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",X
13095001403,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",Watershed and Flood Prevention Operations,,,466921,"SR 520Bu @ Flint River In Albany, Row, Radium Springs Watershed","N_CLT, TD_ET, FLD_ET, EAL_ET","Climate Change, Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",X
13095011400,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",Watershed and Flood Prevention Operations,,,466921,"SR 520Bu @ Flint River In Albany, Row, Radium Springs Watershed","N_CLT, TD_ET, FLD_ET, EAL_ET","Climate Change, Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",X
13105000502,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,6213000,"Richard B Russell Dam And Lake, GA & SC","FLD_ET, N_CLT","Climate Change, Clean Water & Waste Infrastructure",
13111050200,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,440000,"SR 60 @ Toccoa River, Pe","N_CLT, TD_ET",Climate Change,X
13111050500,GA,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,,,,350000,Cooper Creek (AKA Mulky Creek Duncan Ridge),"N_WTR, N_HLTH",Remediation & Reduction of Legacy Pollution,
13117130204,GA,Watershed And Flood Prevention Operations,,,,15152000,Settingdown Creek 54 and Settingdown Creek 56,"FLD_ET, EAL_ET",Remediation & Reduction of Legacy Pollution,
13117130410,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,845000,"Buford Dam And Lake Sidney Lanier, GA",FLD_ET,"Climate Change, Clean Water & Waste Infrastructure",
13121001002,GA,Industrial Research and Assessment Centers,Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,1461802,"Georgia Intsitute of Technology, RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","N_WKFC, N_ENY, NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",X
13121003500,GA,Local and Regional Project Assistance Grants (RAISE),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,12561802,"Five Points Transformation Phase 2, RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","N_TRN, NPL_ET, TP_ET, DS_ET","Clean Transportation, Remediation & Reduction of Legacy Pollution, Training & Workforce Development",X
13121006702,GA,Water-Related Environmental Infrastructure Assistance,Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,6061802,"Atlanta Environmental Infrastructure, GA, RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","N_WTR, N_PLN, NPL_ET, TP_ET, DS_ET","Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007805,GA,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,111802,"Utoy Creek, GA (Sec 206), RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","EAL_ET, NPL_ET, TP_ET, DS_ET","Climate Change, Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007806,GA,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,111802,"Utoy Creek, GA (Sec 206), RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","EAL_ET, NPL_ET, TP_ET, DS_ET","Climate Change, Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007809,GA,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,111802,"Utoy Creek, GA (Sec 206), RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","EAL_ET, NPL_ET, TP_ET, DS_ET","Climate Change, Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121007810,GA,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,111802,"Utoy Creek, GA (Sec 206), RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","EAL_ET, NPL_ET, TP_ET, DS_ET","Climate Change, Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13121009802,GA,Watershed And Flood Prevention Operations,Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,7616802,"Whitewater Creek Watershed, RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","FLD_ET, EAL_ET, NPL_ET, TP_ET, DS_ET","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure, Clean Transportation, Training & Workforce Development",
13121010312,GA,Continuing Authorities Program (Under Flood Control Act And River And Harbor Act),Brownfields Projects,Clean School Bus Program,Low or No Emission (Bus) Grants,111802,"Utoy Creek, GA (Sec 206), RLF Supplemental Funding - Atlanta, City of; Low or No Emission - MARTA; Atlanta Public Schools","EAL_ET, NPL_ET, TP_ET, DS_ET","Climate Change, Clean Water & Waste Infrastructure, Remediation & Reduction of Legacy Pollution, Clean Transportation, Training & Workforce Development",
13123080200,GA,Watershed And Flood Prevention Operations,,,,55000,PIFR - Rainbow Lake Watershed,"FLD_ET, EAL_ET","Remediation & Reduction of Legacy Pollution, Clean Water & Waste Infrastructure",
13133950100,GA,Capital Improvement And Maintenance - Legacy Road And Trail Remediation Program,,,,46000,Towns Creek OHV Trail,N-HLTH,Remediation & Reduction of Legacy Pollution,
13147960501,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
13147960502,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
13147960503,GA,Corps of Engineers Operation and Maintenance,Inland Flood Risk Management Projects,,,980666.67,"Hartwell Lake, GA & SC","FLD_ET, N_HLTH","Climate Change, Clean Water & Waste Infrastructure",
13161960101,GA,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
13161960102,GA,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
13161960201,GA,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
13161960202,GA,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
13161960300,GA,Clean School Bus Program,,,,237000,Jeff Davis County,DS_ET,Clean Transportation,
13183970101,GA,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
13183970102,GA,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
13183970201,GA,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
13183970202,GA,Clean School Bus Program,,,,987500,Long County,DS_ET,Clean Transportation,
13187960203,GA,"Promoting Resilient Operations for Transformative, Efficient, and Cost-Saving Transportation (PROTECT) - Formula",,,,400000,"Garwood Lake Dam Decommission & Removal, Pe","N_CLT, TD_ET",Climate Change,X
13191110101,GA,Grants For States And Tribes For Voluntary Restoration,,,,87168.1,The Georgia Sentinel Landscape Futures Initiative,"N_CLT, N_HLTH",Climate Change,
